Fecha;Intervalo;Requeridos
14/01/2026;7:30:00 a. m.;26
14/01/2026;8:00:00 a. m.;42
14/01/2026;8:30:00 a. m.;47
14/01/2026;9:00:00 a. m.;66
14/01/2026;9:30:00 a. m.;71
14/01/2026;10:00:00 a. m.;79
14/01/2026;10:30:00 a. m.;79
14/01/2026;11:00:00 a. m.;84
14/01/2026;11:30:00 a. m.;86
14/01/2026;12:00:00 p. m.;96
14/01/2026;12:30:00 p. m.;96
14/01/2026;1:00:00 p. m.;102
14/01/2026;1:30:00 p. m.;97
14/01/2026;2:00:00 p. m.;95
14/01/2026;2:30:00 p. m.;92
14/01/2026;3:00:00 p. m.;90
14/01/2026;3:30:00 p. m.;94
14/01/2026;4:00:00 p. m.;94
14/01/2026;4:30:00 p. m.;90
14/01/2026;5:00:00 p. m.;77
14/01/2026;5:30:00 p. m.;68
14/01/2026;6:00:00 p. m.;65
14/01/2026;6:30:00 p. m.;64
14/01/2026;7:00:00 p. m.;57
14/01/2026;7:30:00 p. m.;51
14/01/2026;8:00:00 p. m.;49
14/01/2026;8:30:00 p. m.;47
14/01/2026;9:00:00 p. m.;40
14/01/2026;9:30:00 p. m.;36
14/01/2026;10:00:00 p. m.;33
14/01/2026;10:30:00 p. m.;35
14/01/2026;11:00:00 p. m.;22
14/01/2026;11:30:00 p. m.;22
15/01/2026;12:00:00 a. m.;14
15/01/2026;12:30:00 a. m.;14
15/01/2026;1:00:00 a. m.;3
15/01/2026;1:30:00 a. m.;3
15/01/2026;2:00:00 a. m.;3
15/01/2026;2:30:00 a. m.;3
15/01/2026;3:00:00 a. m.;3
15/01/2026;3:30:00 a. m.;3
15/01/2026;4:00:00 a. m.;3
15/01/2026;4:30:00 a. m.;3
15/01/2026;5:00:00 a. m.;3
15/01/2026;5:30:00 a. m.;3
15/01/2026;6:00:00 a. m.;15
15/01/2026;6:30:00 a. m.;15
15/01/2026;7:00:00 a. m.;17
15/01/2026;7:30:00 a. m.;22
15/01/2026;8:00:00 a. m.;41
15/01/2026;8:30:00 a. m.;42
15/01/2026;9:00:00 a. m.;63
15/01/2026;9:30:00 a. m.;67
15/01/2026;10:00:00 a. m.;79
15/01/2026;10:30:00 a. m.;80
15/01/2026;11:00:00 a. m.;86
15/01/2026;11:30:00 a. m.;88
15/01/2026;12:00:00 p. m.;94
15/01/2026;12:30:00 p. m.;97
15/01/2026;1:00:00 p. m.;90
15/01/2026;1:30:00 p. m.;92
15/01/2026;2:00:00 p. m.;95
15/01/2026;2:30:00 p. m.;93
15/01/2026;3:00:00 p. m.;91
15/01/2026;3:30:00 p. m.;89
15/01/2026;4:00:00 p. m.;81
15/01/2026;4:30:00 p. m.;78
15/01/2026;5:00:00 p. m.;70
15/01/2026;5:30:00 p. m.;65
15/01/2026;6:00:00 p. m.;66
15/01/2026;6:30:00 p. m.;65
15/01/2026;7:00:00 p. m.;55
15/01/2026;7:30:00 p. m.;52
15/01/2026;8:00:00 p. m.;51
15/01/2026;8:30:00 p. m.;49
15/01/2026;9:00:00 p. m.;41
15/01/2026;9:30:00 p. m.;40
15/01/2026;10:00:00 p. m.;34
15/01/2026;10:30:00 p. m.;34
15/01/2026;11:00:00 p. m.;22
15/01/2026;11:30:00 p. m.;22
16/01/2026;12:00:00 a. m.;15
16/01/2026;12:30:00 a. m.;14
16/01/2026;1:00:00 a. m.;3
16/01/2026;1:30:00 a. m.;3
16/01/2026;2:00:00 a. m.;3
16/01/2026;2:30:00 a. m.;3
16/01/2026;3:00:00 a. m.;3
16/01/2026;3:30:00 a. m.;3
16/01/2026;4:00:00 a. m.;3
16/01/2026;4:30:00 a. m.;3
16/01/2026;5:00:00 a. m.;3
16/01/2026;5:30:00 a. m.;3
16/01/2026;6:00:00 a. m.;15
16/01/2026;6:30:00 a. m.;15
16/01/2026;7:00:00 a. m.;18
16/01/2026;7:30:00 a. m.;19
16/01/2026;8:00:00 a. m.;40
16/01/2026;8:30:00 a. m.;41
16/01/2026;9:00:00 a. m.;58
16/01/2026;9:30:00 a. m.;63
16/01/2026;10:00:00 a. m.;76
16/01/2026;10:30:00 a. m.;76
16/01/2026;11:00:00 a. m.;82
16/01/2026;11:30:00 a. m.;82
16/01/2026;12:00:00 p. m.;86
16/01/2026;12:30:00 p. m.;88
16/01/2026;1:00:00 p. m.;86
16/01/2026;1:30:00 p. m.;81
16/01/2026;2:00:00 p. m.;84
16/01/2026;2:30:00 p. m.;86
16/01/2026;3:00:00 p. m.;89
16/01/2026;3:30:00 p. m.;90
16/01/2026;4:00:00 p. m.;73
16/01/2026;4:30:00 p. m.;67
16/01/2026;5:00:00 p. m.;59
16/01/2026;5:30:00 p. m.;56
16/01/2026;6:00:00 p. m.;58
16/01/2026;6:30:00 p. m.;57
16/01/2026;7:00:00 p. m.;53
16/01/2026;7:30:00 p. m.;49
16/01/2026;8:00:00 p. m.;47
16/01/2026;8:30:00 p. m.;45
16/01/2026;9:00:00 p. m.;39
16/01/2026;9:30:00 p. m.;37
16/01/2026;10:00:00 p. m.;30
16/01/2026;10:30:00 p. m.;31
16/01/2026;11:00:00 p. m.;22
16/01/2026;11:30:00 p. m.;22
17/01/2026;12:00:00 a. m.;14
17/01/2026;12:30:00 a. m.;14
17/01/2026;1:00:00 a. m.;3
17/01/2026;1:30:00 a. m.;3
17/01/2026;2:00:00 a. m.;3
17/01/2026;2:30:00 a. m.;3
17/01/2026;3:00:00 a. m.;3
17/01/2026;3:30:00 a. m.;3
17/01/2026;4:00:00 a. m.;3
17/01/2026;4:30:00 a. m.;3
17/01/2026;5:00:00 a. m.;3
17/01/2026;5:30:00 a. m.;3
17/01/2026;6:00:00 a. m.;12
17/01/2026;6:30:00 a. m.;14
17/01/2026;7:00:00 a. m.;20
17/01/2026;7:30:00 a. m.;22
17/01/2026;8:00:00 a. m.;31
17/01/2026;8:30:00 a. m.;34
17/01/2026;9:00:00 a. m.;54
17/01/2026;9:30:00 a. m.;59
17/01/2026;10:00:00 a. m.;63
17/01/2026;10:30:00 a. m.;64
17/01/2026;11:00:00 a. m.;66
17/01/2026;11:30:00 a. m.;66
17/01/2026;12:00:00 p. m.;67
17/01/2026;12:30:00 p. m.;70
17/01/2026;1:00:00 p. m.;65
17/01/2026;1:30:00 p. m.;60
17/01/2026;2:00:00 p. m.;60
17/01/2026;2:30:00 p. m.;59
17/01/2026;3:00:00 p. m.;51
17/01/2026;3:30:00 p. m.;54
17/01/2026;4:00:00 p. m.;46
17/01/2026;4:30:00 p. m.;38
17/01/2026;5:00:00 p. m.;37
17/01/2026;5:30:00 p. m.;36
17/01/2026;6:00:00 p. m.;36
17/01/2026;6:30:00 p. m.;37
17/01/2026;7:00:00 p. m.;33
17/01/2026;7:30:00 p. m.;32
17/01/2026;8:00:00 p. m.;30
17/01/2026;8:30:00 p. m.;29
17/01/2026;9:00:00 p. m.;25
17/01/2026;9:30:00 p. m.;25
17/01/2026;10:00:00 p. m.;22
17/01/2026;10:30:00 p. m.;23
17/01/2026;11:00:00 p. m.;16
17/01/2026;11:30:00 p. m.;16
18/01/2026;12:00:00 a. m.;7
18/01/2026;12:30:00 a. m.;7
18/01/2026;1:00:00 a. m.;2
18/01/2026;1:30:00 a. m.;2
18/01/2026;2:00:00 a. m.;2
18/01/2026;2:30:00 a. m.;2
18/01/2026;3:00:00 a. m.;2
18/01/2026;3:30:00 a. m.;2
18/01/2026;4:00:00 a. m.;2
18/01/2026;4:30:00 a. m.;2
18/01/2026;5:00:00 a. m.;2
18/01/2026;5:30:00 a. m.;2
18/01/2026;6:00:00 a. m.;9
18/01/2026;6:30:00 a. m.;9
18/01/2026;7:00:00 a. m.;10
18/01/2026;7:30:00 a. m.;13
18/01/2026;8:00:00 a. m.;16
18/01/2026;8:30:00 a. m.;20
18/01/2026;9:00:00 a. m.;25
18/01/2026;9:30:00 a. m.;27
18/01/2026;10:00:00 a. m.;29
18/01/2026;10:30:00 a. m.;31
18/01/2026;11:00:00 a. m.;33
18/01/2026;11:30:00 a. m.;35
18/01/2026;12:00:00 p. m.;38
18/01/2026;12:30:00 p. m.;38
18/01/2026;1:00:00 p. m.;36
18/01/2026;1:30:00 p. m.;34
18/01/2026;2:00:00 p. m.;33
18/01/2026;2:30:00 p. m.;36
18/01/2026;3:00:00 p. m.;37
18/01/2026;3:30:00 p. m.;36
18/01/2026;4:00:00 p. m.;33
18/01/2026;4:30:00 p. m.;30
18/01/2026;5:00:00 p. m.;29
18/01/2026;5:30:00 p. m.;31
18/01/2026;6:00:00 p. m.;32
18/01/2026;6:30:00 p. m.;28
18/01/2026;7:00:00 p. m.;26
18/01/2026;7:30:00 p. m.;26
18/01/2026;8:00:00 p. m.;25
18/01/2026;8:30:00 p. m.;24
18/01/2026;9:00:00 p. m.;23
18/01/2026;9:30:00 p. m.;22
18/01/2026;10:00:00 p. m.;14
18/01/2026;10:30:00 p. m.;16
18/01/2026;11:00:00 p. m.;14
18/01/2026;11:30:00 p. m.;14
