Fecha;Intervalo;Requeridos
12/01/2026;12:00:00 a. m.;7
12/01/2026;12:30:00 a. m.;7
12/01/2026;1:00:00 a. m.;2
12/01/2026;1:30:00 a. m.;2
12/01/2026;2:00:00 a. m.;2
12/01/2026;2:30:00 a. m.;2
12/01/2026;3:00:00 a. m.;2
12/01/2026;3:30:00 a. m.;2
12/01/2026;4:00:00 a. m.;2
12/01/2026;4:30:00 a. m.;2
12/01/2026;5:00:00 a. m.;2
12/01/2026;5:30:00 a. m.;2
12/01/2026;6:00:00 a. m.;13
12/01/2026;6:30:00 a. m.;14
12/01/2026;7:00:00 a. m.;16
12/01/2026;7:30:00 a. m.;18
12/01/2026;8:00:00 a. m.;44
12/01/2026;8:30:00 a. m.;49
12/01/2026;9:00:00 a. m.;65
12/01/2026;9:30:00 a. m.;72
12/01/2026;10:00:00 a. m.;82
12/01/2026;10:30:00 a. m.;82
12/01/2026;11:00:00 a. m.;88
12/01/2026;11:30:00 a. m.;89
12/01/2026;12:00:00 p. m.;92
12/01/2026;12:30:00 p. m.;94
12/01/2026;1:00:00 p. m.;88
12/01/2026;1:30:00 p. m.;86
12/01/2026;2:00:00 p. m.;86
12/01/2026;2:30:00 p. m.;87
12/01/2026;3:00:00 p. m.;97
12/01/2026;3:30:00 p. m.;92
12/01/2026;4:00:00 p. m.;84
12/01/2026;4:30:00 p. m.;81
12/01/2026;5:00:00 p. m.;76
12/01/2026;5:30:00 p. m.;60
12/01/2026;6:00:00 p. m.;64
12/01/2026;6:30:00 p. m.;63
12/01/2026;7:00:00 p. m.;58
12/01/2026;7:30:00 p. m.;56
12/01/2026;8:00:00 p. m.;53
12/01/2026;8:30:00 p. m.;53
12/01/2026;9:00:00 p. m.;41
12/01/2026;9:30:00 p. m.;39
12/01/2026;10:00:00 p. m.;28
12/01/2026;10:30:00 p. m.;28
12/01/2026;11:00:00 p. m.;22
12/01/2026;11:30:00 p. m.;22
13/01/2026;12:00:00 a. m.;14
13/01/2026;12:30:00 a. m.;14
13/01/2026;1:00:00 a. m.;3
13/01/2026;1:30:00 a. m.;3
13/01/2026;2:00:00 a. m.;3
13/01/2026;2:30:00 a. m.;3
13/01/2026;3:00:00 a. m.;3
13/01/2026;3:30:00 a. m.;3
13/01/2026;4:00:00 a. m.;3
13/01/2026;4:30:00 a. m.;3
13/01/2026;5:00:00 a. m.;3
13/01/2026;5:30:00 a. m.;3
13/01/2026;6:00:00 a. m.;12
13/01/2026;6:30:00 a. m.;13
13/01/2026;7:00:00 a. m.;17
13/01/2026;7:30:00 a. m.;19
13/01/2026;8:00:00 a. m.;36
13/01/2026;8:30:00 a. m.;39
13/01/2026;9:00:00 a. m.;62
13/01/2026;9:30:00 a. m.;68
13/01/2026;10:00:00 a. m.;77
13/01/2026;10:30:00 a. m.;78
13/01/2026;11:00:00 a. m.;85
13/01/2026;11:30:00 a. m.;86
13/01/2026;12:00:00 p. m.;92
13/01/2026;12:30:00 p. m.;95
13/01/2026;1:00:00 p. m.;100
13/01/2026;1:30:00 p. m.;97
13/01/2026;2:00:00 p. m.;99
13/01/2026;2:30:00 p. m.;100
13/01/2026;3:00:00 p. m.;103
13/01/2026;3:30:00 p. m.;108
13/01/2026;4:00:00 p. m.;110
13/01/2026;4:30:00 p. m.;105
13/01/2026;5:00:00 p. m.;90
13/01/2026;5:30:00 p. m.;80
13/01/2026;6:00:00 p. m.;75
13/01/2026;6:30:00 p. m.;70
13/01/2026;7:00:00 p. m.;63
13/01/2026;7:30:00 p. m.;61
13/01/2026;8:00:00 p. m.;54
13/01/2026;8:30:00 p. m.;52
13/01/2026;9:00:00 p. m.;42
13/01/2026;9:30:00 p. m.;38
13/01/2026;10:00:00 p. m.;34
13/01/2026;10:30:00 p. m.;36
13/01/2026;11:00:00 p. m.;22
13/01/2026;11:30:00 p. m.;21
14/01/2026;12:00:00 a. m.;13
14/01/2026;12:30:00 a. m.;13
14/01/2026;1:00:00 a. m.;3
14/01/2026;1:30:00 a. m.;3
14/01/2026;2:00:00 a. m.;3
14/01/2026;2:30:00 a. m.;3
14/01/2026;3:00:00 a. m.;3
14/01/2026;3:30:00 a. m.;3
14/01/2026;4:00:00 a. m.;3
14/01/2026;4:30:00 a. m.;3
14/01/2026;5:00:00 a. m.;3
14/01/2026;5:30:00 a. m.;3
14/01/2026;6:00:00 a. m.;15
14/01/2026;6:30:00 a. m.;17
14/01/2026;7:00:00 a. m.;23
