Nro.;Codigo;Turno_ID;Descripcion;Hora_Inicio;Hora_Termino;Descanso1;Descanso2;Total_Horas;Refrigerio;H.Efectivas;Inicio_Refrigerio;Fin_Refrigerio;Avail
1164 ;5686 ;IMPORT5686;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;17:00 ;18:00 ;0
1165 ;5687 ;IMPORT5687;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;30 ;0 ;09:00 ;60 ;8:00;19:30 ;20:30 ;1
1166 ;5688 ;IMPORT5688;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;15 ;15 ;09:00 ;60 ;8:00;10:40 ;11:40 ;1
1167 ;5689 ;IMPORT5689;De 06:30 a 15:30 R60 ;06:30 ;15:30 ;15 ;15 ;09:00 ;60 ;8:00;12:15 ;13:15 ;1
1168 ;5690 ;IMPORT5690;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;11:45 ;12:45 ;1
1169 ;5691 ;IMPORT5691;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;15 ;15 ;09:00 ;60 ;8:00;12:15 ;13:15 ;1
1170 ;5692 ;IMPORT5692;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;15 ;15 ;09:00 ;60 ;8:00;10:15 ;11:15 ;1
1171 ;5693 ;IMPORT5693;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;15 ;15 ;09:00 ;60 ;8:00;11:45 ;12:45 ;1
1172 ;5694 ;IMPORT5694;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;15 ;15 ;09:00 ;60 ;8:00;12:15 ;13:15 ;1
1173 ;5695 ;IMPORT5695;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;15 ;15 ;09:00 ;60 ;8:00;12:55 ;13:55 ;1
1174 ;5696 ;IMPORT5696;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;15 ;15 ;09:00 ;60 ;8:00;13:45 ;14:45 ;1
1175 ;5697 ;IMPORT5697;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;15 ;15 ;09:00 ;60 ;8:00;13:55 ;14:55 ;1
1176 ;5698 ;IMPORT5698;De 11:30 a 20:30 R60 ;11:30 ;20:30 ;15 ;15 ;09:00 ;60 ;8:00;17:15 ;18:15 ;1
1177 ;5699 ;IMPORT5699;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;15 ;15 ;09:00 ;60 ;8:00;15:05 ;16:05 ;1
1178 ;5700 ;IMPORT5700;De 14:30 a 23:00 R0 ;14:30 ;23:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1179 ;5701 ;IMPORT5701;De 15:00 a 00:00 R60 ;15:00 ;00:00 ;15 ;15 ;09:00 ;60 ;8:00;20:15 ;21:15 ;1
1180 ;5702 ;IMPORT5702;De 16:00 a 00:30 R0 ;16:00 ;00:30 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1181 ;5703 ;IMPORT5703;De 04:30 a 11:30 R0 ;04:30 ;11:30 ;15 ;15 ;07:00 ;0 ;7:00;;;1
1182 ;5704 ;IMPORT5704;De 09:30 a 17:30 R60 ;09:30 ;17:30 ;15 ;15 ;08:00 ;60 ;7:00;14:00 ;15:00 ;1
1183 ;5705 ;IMPORT5705;De 12:30 a 21:30 R60 ;12:30 ;21:30 ;30 ;0 ;09:00 ;60 ;8:00;16:30 ;17:30 ;1
1184 ;5706 ;IMPORT5706;De 14:00 a 22:00 R60 ;14:00 ;22:00 ;15 ;15 ;08:00 ;60 ;7:00;18:15 ;19:15 ;1
1185 ;5707 ;IMPORT5707;De 15:00 a 00:00 R60 ;15:00 ;00:00 ;30 ;0 ;09:00 ;60 ;8:00;21:00 ;22:00 ;1
1186 ;5708 ;IMPORT5708;De 16:30 a 00:30 R60 ;16:30 ;00:30 ;30 ;0 ;08:00 ;60 ;7:00;19:30 ;20:30 ;1
1187 ;5709 ;IMPORT5709;De 16:30 a 01:00 R0 ;16:30 ;01:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1188 ;5710 ;IMPORT5710;De 05:30 a 14:00 R0 ;05:30 ;14:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1189 ;5711 ;IMPORT5711;De 06:30 a 14:30 R60 ;06:30 ;14:30 ;15 ;15 ;08:00 ;60 ;7:00;09:45 ;10:45 ;1
1190 ;5712 ;IMPORT5712;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;15 ;15 ;09:00 ;60 ;8:00;16:40 ;17:40 ;1
1191 ;5713 ;IMPORT5713;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;15 ;15 ;09:00 ;60 ;8:00;18:10 ;19:10 ;1
1192 ;5714 ;IMPORT5714;De 13:30 a 21:30 R60 ;13:30 ;21:30 ;15 ;15 ;08:00 ;60 ;7:00;16:30 ;17:30 ;1
1193 ;5715 ;IMPORT5715;De 14:00 a 22:00 R60 ;14:00 ;22:00 ;15 ;15 ;08:00 ;60 ;7:00;17:45 ;18:45 ;1
1194 ;5716 ;IMPORT5716;De 16:00 a 00:00 R60 ;16:00 ;00:00 ;15 ;15 ;08:00 ;60 ;7:00;19:00 ;20:00 ;1
1195 ;5717 ;IMPORT5717;De 05:30 a 10:30 R0 ;05:30 ;10:30 ;15 ;15 ;05:00 ;0 ;5:00;;;1
1196 ;5718 ;IMPORT5718;De 09:00 a 17:00 R60 ;09:00 ;17:00 ;30 ;0 ;08:00 ;60 ;7:00;13:30 ;14:30 ;1
1197 ;5719 ;IMPORT5719;De 15:30 a 00:00 R0 ;15:30 ;00:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1198 ;5720 ;IMPORT5720;De 16:00 a 00:00 R60 ;16:00 ;00:00 ;30 ;0 ;08:00 ;60 ;7:00;19:30 ;20:30 ;1
1199 ;5721 ;IMPORT5721;De 18:30 a 01:30 R0 ;18:30 ;01:30 ;15 ;15 ;07:00 ;0 ;7:00;;;1
1200 ;5722 ;IMPORT5722;De 18:30 a 23:30 R0 ;18:30 ;23:30 ;15 ;15 ;05:00 ;0 ;5:00;;;1
1201 ;5723 ;IMPORT5723;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;11:30 ;12:30 ;0
1202 ;5724 ;IMPORT5724;De 06:30 a 16:30 R60 ;06:30 ;16:30 ;30 ;0 ;10:00 ;60 ;9:00;12:00 ;13:00 ;0
1203 ;5725 ;IMPORT5725;De 12:00 a 20:00 R60 ;12:00 ;20:00 ;15 ;15 ;08:00 ;60 ;7:00;16:00 ;17:00 ;1
1204 ;5726 ;IMPORT5726;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;13:45 ;14:45 ;0
1205 ;5727 ;IMPORT5727;De 14:00 a 22:00 R60 ;14:00 ;22:00 ;15 ;15 ;08:00 ;60 ;7:00;17:00 ;18:00 ;1
1206 ;5728 ;IMPORT5728;De 05:00 a 13:30 R0 ;05:00 ;13:30 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1207 ;5729 ;IMPORT5729;De 15:00 a 23:30 R0 ;15:00 ;23:30 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1208 ;5730 ;IMPORT5730;De 16:00 a 01:00 R60 ;16:00 ;01:00 ;30 ;0 ;09:00 ;60 ;8:00;22:30 ;23:30 ;1
1209 ;5731 ;IMPORT5731;De 18:00 a 03:00 R60 ;18:00 ;03:00 ;30 ;0 ;09:00 ;60 ;8:00;00:30 ;01:30 ;1
1210 ;5732 ;IMPORT5732;De 20:00 a 01:00 R0 ;20:00 ;01:00 ;15 ;0 ;05:00 ;0 ;5:00;;;0
1211 ;5733 ;IMPORT5733;De 04:30 a 13:30 R60 ;04:30 ;13:30 ;15 ;15 ;09:00 ;60 ;8:00;07:45 ;08:45 ;1
1212 ;5734 ;IMPORT5734;De 10:30 a 18:30 R60 ;10:30 ;18:30 ;15 ;15 ;08:00 ;60 ;7:00;13:45 ;14:45 ;1
1213 ;5735 ;IMPORT5735;De 05:30 a 14:30 R60 ;05:30 ;14:30 ;30 ;0 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
1214 ;5736 ;IMPORT5736;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;13:05 ;14:05 ;0
1215 ;5737 ;IMPORT5737;De 09:00 a 17:00 R60 ;09:00 ;17:00 ;15 ;15 ;08:00 ;60 ;7:00;13:15 ;14:15 ;1
1216 ;5738 ;IMPORT5738;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;16:20 ;17:20 ;0
1217 ;5739 ;IMPORT5739;De 14:00 a 22:00 R60 ;14:00 ;22:00 ;15 ;15 ;08:00 ;60 ;7:00;17:30 ;18:30 ;1
1218 ;5740 ;IMPORT5740;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;15 ;15 ;09:00 ;60 ;8:00;13:40 ;14:40 ;1
1219 ;5741 ;IMPORT5741;De 09:00 a 17:00 R60 ;09:00 ;17:00 ;15 ;15 ;08:00 ;60 ;7:00;12:40 ;13:40 ;1
1220 ;5742 ;IMPORT5742;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;15 ;15 ;09:00 ;60 ;8:00;12:25 ;13:25 ;1
1221 ;5743 ;IMPORT5743;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;15 ;15 ;09:00 ;60 ;8:00;12:40 ;13:40 ;1
1222 ;5744 ;IMPORT5744;De 08:30 a 16:30 R60 ;08:30 ;16:30 ;15 ;15 ;08:00 ;60 ;7:00;12:45 ;13:45 ;1
1223 ;5745 ;IMPORT5745;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;15 ;15 ;09:00 ;60 ;8:00;16:05 ;17:05 ;1
1224 ;5746 ;IMPORT5746;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;15 ;15 ;09:00 ;60 ;8:00;18:20 ;19:20 ;1
