Nro.;Codigo;Turno_ID;Descripcion;Hora_Inicio;Hora_Termino;Descanso1;Descanso2;Total_Horas;Refrigerio;H.Efectivas;Inicio_Refrigerio;Fin_Refrigerio;Avail
1 ;2440 ;2014;De 09:30 a 13:30 ht 4 ;09:30 ;13:30 ;0 ;0 ;04:00 ;0 ;4:00;;;0
2 ;2441 ;C0001;De 10:30 a 16:00 ht 5 ;10:30 ;16:00 ;0 ;0 ;05:30 ;30 ;5:00;;;1
3 ;2442 ;C0002;De 10:30 a 16:00 ht 5.5 ;10:30 ;16:00 ;30 ;0 ;05:30 ;0 ;5:30;;;0
4 ;2443 ;C0003;De 07:30 a 17:30 ht 9 ;07:30 ;17:30 ;0 ;0 ;10:00 ;60 ;9:00;11:30 ;12:30 ;0
5 ;2444 ;C0004;De 07:00 a 10:00 ht 3 ;07:00 ;10:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
6 ;2445 ;C0005;De 08:45 a 19:00 ht 9.25 ;08:45 ;19:00 ;0 ;0 ;10:15 ;60 ;9:15;;;0
7 ;2450 ;C0006;De 06:00 a 09:00 ht 3 ;06:00 ;09:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
8 ;2304 ;FID1;De 12:00 a 18:30 ht 6.5 ;12:00 ;18:30 ;0 ;0 ;06:30 ;0 ;6:30;;;0
9 ;2305 ;fide02;De 12:00 a 21:00 ht 9 ;12:00 ;21:00 ;30 ;0 ;09:00 ;0 ;9:00;;;1
10 ;2306 ;fide03;De 11:30 a 17:30 ht 6 ;11:30 ;17:30 ;15 ;0 ;06:00 ;0 ;6:00;;;0
11 ;2307 ;Fide04;De 13:00 a 23:00 ht 10 ;13:00 ;23:00 ;30 ;0 ;10:00 ;0 ;10:00;;;0
12 ;2314 ;Fide05;De 12:00 a 15:00 ht 3 ;12:00 ;15:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
13 ;2318 ;Fide06;De 10:00 a 13:00 ht 3 ;10:00 ;13:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
14 ;2320 ;Fide07;De 15:30 a 23:00 ht 7.5 ;15:30 ;23:00 ;30 ;0 ;07:30 ;0 ;7:30;;;1
15 ;2338 ;Fide08;De 08:00 a 17:30 ht 9.5 ;08:00 ;17:30 ;30 ;0 ;09:30 ;0 ;9:30;;;1
16 ;2340 ;Fide09;De 11:30 a 20:30 ht 8 ;11:30 ;20:30 ;30 ;0 ;09:00 ;60 ;8:00;03:00 ;04:00 ;1
17 ;2359 ;Fide10_1;De 13:30 a 19:30 ht 6 ;13:30 ;19:30 ;15 ;0 ;06:00 ;0 ;6:00;;;0
18 ;2365 ;Fide10_2;De 09:30 a 12:30 ht 3 ;09:30 ;12:30 ;0 ;0 ;03:00 ;0 ;3:00;;;0
19 ;2366 ;fide11;De 07:00 a 17:30 ht 10.5 ;07:00 ;17:30 ;0 ;0 ;10:30 ;0 ;10:30;;;0
20 ;2500 ;GENERIC_WF;De 08:00 a 17:00 ht 9 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
21 ;4540 ;IMPORT4540;De 01:30 a 09:30 R0 ;01:30 ;09:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
22 ;4541 ;IMPORT4541;De 02:30 a 10:30 R0 ;02:30 ;10:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
23 ;4542 ;IMPORT4542;De 03:30 a 11:30 R0 ;03:30 ;11:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
24 ;4543 ;IMPORT4543;De 17:30 a 01:30 R0 ;17:30 ;01:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
25 ;4544 ;IMPORT4544;De 21:30 a 05:30 R0 ;21:30 ;05:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
26 ;4545 ;IMPORT4545;De 23:30 a 07:30 R0 ;23:30 ;07:30 ;30 ;0 ;08:00 ;0 ;8:00;;;1
27 ;4546 ;IMPORT4546;De 07:00 a 15:30 R0 ;07:00 ;15:30 ;15 ;15 ;08:30 ;0 ;8:30;;;1
28 ;4547 ;IMPORT4547;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;11:30 ;12:30 ;1
29 ;4548 ;IMPORT4548;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;12:15 ;13:15 ;1
30 ;4549 ;IMPORT4549;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;10:45 ;11:45 ;1
31 ;4550 ;IMPORT4550;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;11:30 ;12:30 ;1
32 ;4551 ;IMPORT4551;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;11:45 ;12:45 ;1
33 ;4552 ;IMPORT4552;De 07:30 a 16:00 R0 ;07:30 ;16:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
34 ;4553 ;IMPORT4553;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;12:05 ;13:05 ;1
35 ;4554 ;IMPORT4554;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
36 ;4555 ;IMPORT4555;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
37 ;4556 ;IMPORT4556;De 08:00 a 19:00 R60 ;08:00 ;19:00 ;15 ;15 ;11:00 ;60 ;10:00;13:05 ;14:05 ;0
38 ;4557 ;IMPORT4557;De 08:00 a 19:00 R60 ;08:00 ;19:00 ;15 ;15 ;11:00 ;60 ;10:00;13:55 ;14:55 ;0
39 ;4558 ;IMPORT4558;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;15 ;15 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
40 ;4559 ;IMPORT4559;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;11:30 ;12:30 ;1
41 ;4560 ;IMPORT4560;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;12:45 ;13:45 ;1
42 ;4561 ;IMPORT4561;De 08:30 a 19:30 R60 ;08:30 ;19:30 ;15 ;15 ;11:00 ;60 ;10:00;14:00 ;15:00 ;0
43 ;4562 ;IMPORT4562;De 08:30 a 19:30 R60 ;08:30 ;19:30 ;15 ;15 ;11:00 ;60 ;10:00;14:05 ;15:05 ;0
44 ;4563 ;IMPORT4563;De 08:30 a 19:30 R60 ;08:30 ;19:30 ;15 ;15 ;11:00 ;60 ;10:00;15:30 ;16:30 ;0
45 ;4564 ;IMPORT4564;De 09:00 a 18:30 R60 ;09:00 ;18:30 ;15 ;15 ;09:30 ;60 ;8:30;12:00 ;13:00 ;1
46 ;4565 ;IMPORT4565;De 09:00 a 18:30 R60 ;09:00 ;18:30 ;15 ;15 ;09:30 ;60 ;8:30;12:25 ;13:25 ;1
47 ;4566 ;IMPORT4566;De 09:00 a 18:30 R60 ;09:00 ;18:30 ;15 ;15 ;09:30 ;60 ;8:30;13:30 ;14:30 ;1
48 ;4567 ;IMPORT4567;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:00 ;15:00 ;0
49 ;4568 ;IMPORT4568;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:25 ;15:25 ;0
50 ;4569 ;IMPORT4569;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:30 ;15:30 ;0
51 ;4570 ;IMPORT4570;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;15:00 ;16:00 ;0
52 ;4571 ;IMPORT4571;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;15 ;15 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
53 ;4572 ;IMPORT4572;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;12:30 ;13:30 ;1
54 ;4573 ;IMPORT4573;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;13:00 ;14:00 ;1
55 ;4574 ;IMPORT4574;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;13:25 ;14:25 ;1
56 ;4575 ;IMPORT4575;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;13:30 ;14:30 ;1
57 ;4576 ;IMPORT4576;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;15:00 ;16:00 ;0
58 ;4577 ;IMPORT4577;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;16:00 ;17:00 ;0
59 ;4578 ;IMPORT4578;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;17:15 ;18:15 ;0
60 ;4579 ;IMPORT4579;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;15 ;15 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
61 ;4580 ;IMPORT4580;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;15 ;15 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
62 ;4581 ;IMPORT4581;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;15 ;15 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
63 ;4582 ;IMPORT4582;De 08:00 a 19:00 R60 ;08:00 ;19:00 ;15 ;15 ;11:00 ;60 ;10:00;13:00 ;14:00 ;0
64 ;4583 ;IMPORT4583;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;15 ;15 ;09:00 ;60 ;8:00;13:20 ;14:20 ;1
65 ;4584 ;IMPORT4584;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;15:05 ;16:05 ;0
66 ;4585 ;IMPORT4585;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;16:40 ;17:40 ;0
67 ;4586 ;IMPORT4586;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;15 ;15 ;09:00 ;60 ;8:00;15:10 ;16:10 ;1
68 ;4587 ;IMPORT4587;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;30 ;0 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
69 ;4588 ;IMPORT4588;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
70 ;4589 ;IMPORT4589;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
71 ;4590 ;IMPORT4590;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;30 ;0 ;09:00 ;60 ;8:00;11:30 ;12:30 ;1
72 ;4591 ;IMPORT4591;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;11:15 ;12:15 ;1
73 ;4592 ;IMPORT4592;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;12:25 ;13:25 ;1
74 ;4593 ;IMPORT4593;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
75 ;4594 ;IMPORT4594;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;10:00 ;11:00 ;1
76 ;4595 ;IMPORT4595;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;11:15 ;12:15 ;1
77 ;4596 ;IMPORT4596;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
78 ;4597 ;IMPORT4597;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;15 ;15 ;09:00 ;60 ;8:00;12:45 ;13:45 ;1
79 ;4598 ;IMPORT4598;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
80 ;4599 ;IMPORT4599;De 08:30 a 17:30 R60 ;08:30 ;17:30 ;15 ;15 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
81 ;4600 ;IMPORT4600;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;11:40 ;12:40 ;1
82 ;4601 ;IMPORT4601;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;11:45 ;12:45 ;1
83 ;4602 ;IMPORT4602;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;13:30 ;14:30 ;1
84 ;4603 ;IMPORT4603;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:05 ;15:05 ;0
85 ;4604 ;IMPORT4604;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:45 ;15:45 ;0
86 ;4605 ;IMPORT4605;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;16:00 ;17:00 ;0
87 ;4606 ;IMPORT4606;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
88 ;4607 ;IMPORT4607;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;15:45 ;16:45 ;1
89 ;4608 ;IMPORT4608;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;15 ;15 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
90 ;4609 ;IMPORT4609;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;15 ;15 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
91 ;4610 ;IMPORT4610;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
92 ;4611 ;IMPORT4611;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
93 ;4612 ;IMPORT4612;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;15:30 ;16:30 ;0
94 ;4613 ;IMPORT4613;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;16:15 ;17:15 ;0
95 ;4614 ;IMPORT4614;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;17:30 ;18:30 ;0
96 ;4615 ;IMPORT4615;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;15 ;15 ;09:00 ;60 ;8:00;15:15 ;16:15 ;1
97 ;4616 ;IMPORT4616;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;15 ;15 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
98 ;4617 ;IMPORT4617;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
99 ;4618 ;IMPORT4618;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
100 ;4619 ;IMPORT4619;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;30 ;0 ;09:00 ;60 ;8:00;11:00 ;12:00 ;1
101 ;4620 ;IMPORT4620;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;30 ;0 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
102 ;4621 ;IMPORT4621;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;30 ;0 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
103 ;4622 ;IMPORT4622;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;30 ;0 ;09:00 ;60 ;8:00;13:15 ;14:15 ;1
104 ;4623 ;IMPORT4623;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;11:00 ;12:00 ;1
105 ;4624 ;IMPORT4624;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;11:30 ;12:30 ;1
106 ;4625 ;IMPORT4625;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
107 ;4626 ;IMPORT4626;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
108 ;4627 ;IMPORT4627;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
109 ;4628 ;IMPORT4628;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
110 ;4629 ;IMPORT4629;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
111 ;4630 ;IMPORT4630;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
112 ;4631 ;IMPORT4631;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
113 ;4632 ;IMPORT4632;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
114 ;4633 ;IMPORT4633;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
115 ;4634 ;IMPORT4634;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
116 ;4635 ;IMPORT4635;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
117 ;4636 ;IMPORT4636;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;30 ;0 ;09:00 ;60 ;8:00;16:30 ;17:30 ;1
118 ;4637 ;IMPORT4637;De 11:30 a 20:30 R60 ;11:30 ;20:30 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
119 ;4638 ;IMPORT4638;De 11:30 a 20:30 R60 ;11:30 ;20:30 ;30 ;0 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
120 ;4639 ;IMPORT4639;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
121 ;4640 ;IMPORT4640;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;14:45 ;15:45 ;1
122 ;4641 ;IMPORT4641;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
123 ;4642 ;IMPORT4642;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
124 ;4643 ;IMPORT4643;De 12:00 a 21:00 R60 ;12:00 ;21:00 ;30 ;0 ;09:00 ;60 ;8:00;18:00 ;19:00 ;1
125 ;4644 ;IMPORT4644;De 15:00 a 00:00 R60 ;15:00 ;00:00 ;30 ;0 ;09:00 ;60 ;8:00;17:15 ;18:15 ;1
126 ;4645 ;IMPORT4645;De 15:00 a 00:00 R60 ;15:00 ;00:00 ;30 ;0 ;09:00 ;60 ;8:00;18:30 ;19:30 ;1
127 ;4646 ;IMPORT4646;De 06:00 a 15:00 R60 ;06:00 ;15:00 ;30 ;0 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
128 ;4647 ;IMPORT4647;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
129 ;4648 ;IMPORT4648;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;30 ;0 ;09:00 ;60 ;8:00;12:00 ;13:00 ;1
130 ;4649 ;IMPORT4649;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;13:45 ;14:45 ;1
131 ;4650 ;IMPORT4650;De 08:00 a 17:00 R60 ;08:00 ;17:00 ;30 ;0 ;09:00 ;60 ;8:00;14:15 ;15:15 ;1
132 ;4651 ;IMPORT4651;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
133 ;4652 ;IMPORT4652;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;15:00 ;16:00 ;1
134 ;4653 ;IMPORT4653;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;13:15 ;14:15 ;1
135 ;4654 ;IMPORT4654;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
136 ;4655 ;IMPORT4655;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;30 ;0 ;09:00 ;60 ;8:00;16:30 ;17:30 ;1
137 ;4656 ;IMPORT4656;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;14:00 ;15:00 ;1
138 ;4657 ;IMPORT4657;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
139 ;4658 ;IMPORT4658;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;16:30 ;17:30 ;1
140 ;4659 ;IMPORT4659;De 12:30 a 21:30 R60 ;12:30 ;21:30 ;30 ;0 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
141 ;4660 ;IMPORT4660;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;30 ;0 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
142 ;4661 ;IMPORT4661;De 13:00 a 22:00 R60 ;13:00 ;22:00 ;30 ;0 ;09:00 ;60 ;8:00;17:30 ;18:30 ;1
143 ;4662 ;IMPORT4662;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;11:45 ;12:45 ;1
144 ;4663 ;IMPORT4663;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;13:00 ;14:00 ;1
145 ;4664 ;IMPORT4664;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;15 ;15 ;09:00 ;60 ;8:00;12:30 ;13:30 ;1
146 ;4665 ;IMPORT4665;De 08:00 a 19:00 R60 ;08:00 ;19:00 ;15 ;15 ;11:00 ;60 ;10:00;13:30 ;14:30 ;0
147 ;4666 ;IMPORT4666;De 08:30 a 17:00 R0 ;08:30 ;17:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
148 ;4667 ;IMPORT4667;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;11:55 ;12:55 ;1
149 ;4668 ;IMPORT4668;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;12:15 ;13:15 ;1
150 ;4669 ;IMPORT4669;De 08:30 a 18:00 R60 ;08:30 ;18:00 ;15 ;15 ;09:30 ;60 ;8:30;13:00 ;14:00 ;1
151 ;4670 ;IMPORT4670;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;15 ;15 ;09:00 ;60 ;8:00;13:15 ;14:15 ;1
152 ;4671 ;IMPORT4671;De 09:00 a 18:00 R60 ;09:00 ;18:00 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
153 ;4672 ;IMPORT4672;De 09:00 a 20:00 R60 ;09:00 ;20:00 ;15 ;15 ;11:00 ;60 ;10:00;14:15 ;15:15 ;0
154 ;4673 ;IMPORT4673;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;30 ;0 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
155 ;4674 ;IMPORT4674;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;12:45 ;13:45 ;1
156 ;4675 ;IMPORT4675;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;15 ;15 ;09:00 ;60 ;8:00;14:45 ;15:45 ;1
157 ;4676 ;IMPORT4676;De 10:00 a 19:00 R60 ;10:00 ;19:00 ;15 ;15 ;09:00 ;60 ;8:00;15:10 ;16:10 ;1
158 ;4677 ;IMPORT4677;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;15:25 ;16:25 ;0
159 ;4678 ;IMPORT4678;De 10:00 a 21:00 R60 ;10:00 ;21:00 ;15 ;15 ;11:00 ;60 ;10:00;16:10 ;17:10 ;0
160 ;4679 ;IMPORT4679;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;15 ;15 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
161 ;4680 ;IMPORT4680;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;15:30 ;16:30 ;1
162 ;4681 ;IMPORT4681;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
163 ;4682 ;IMPORT4682;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;30 ;0 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
164 ;4683 ;IMPORT4683;De 09:30 a 18:30 R60 ;09:30 ;18:30 ;30 ;0 ;09:00 ;60 ;8:00;14:30 ;15:30 ;1
165 ;4684 ;IMPORT4684;De 10:30 a 19:30 R60 ;10:30 ;19:30 ;30 ;0 ;09:00 ;60 ;8:00;13:00 ;14:00 ;1
166 ;4685 ;IMPORT4685;De 11:00 a 20:00 R60 ;11:00 ;20:00 ;30 ;0 ;09:00 ;60 ;8:00;13:30 ;14:30 ;1
167 ;4686 ;IMPORT4686;De 11:30 a 20:30 R60 ;11:30 ;20:30 ;30 ;0 ;09:00 ;60 ;8:00;16:00 ;17:00 ;1
168 ;4687 ;IMPORT4687;De 07:00 a 16:00 R60 ;07:00 ;16:00 ;15 ;15 ;09:00 ;60 ;8:00;11:05 ;12:05 ;1
169 ;4688 ;IMPORT4688;De 07:00 a 16:30 R60 ;07:00 ;16:30 ;15 ;15 ;09:30 ;60 ;8:30;10:15 ;11:15 ;1
170 ;4689 ;IMPORT4689;De 07:30 a 17:00 R60 ;07:30 ;17:00 ;15 ;15 ;09:30 ;60 ;8:30;10:45 ;11:45 ;1
171 ;4690 ;IMPORT4690;De 07:30 a 17:00 R60 ;07:30 ;17:00 ;15 ;15 ;09:30 ;60 ;8:30;13:00 ;14:00 ;1
172 ;4691 ;IMPORT4691;De 08:00 a 17:30 R60 ;08:00 ;17:30 ;15 ;15 ;09:30 ;60 ;8:30;11:00 ;12:00 ;1
